Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,25.020000,25.020000,23.870001,24.438000,15.757361,59200
2018-03-01,24.410000,24.780001,23.670000,24.070000,15.610463,32900
2018-04-01,24.820000,24.820000,23.650000,23.891001,15.585499,32100
2018-05-01,23.940001,25.980000,23.750000,24.204000,15.882490,62600
2018-06-01,24.181999,25.770000,23.900000,23.993000,15.836103,127500
2018-07-01,24.620001,24.620001,23.872000,24.032000,15.954495,58600
2018-08-01,24.045000,24.490000,24.020000,24.400000,16.293470,76600
2018-09-01,24.389999,24.389999,23.910000,24.110001,16.193853,59200
2018-10-01,24.129999,24.129999,22.700001,23.017000,15.549916,172800
2018-11-01,23.010000,23.350000,22.590000,22.905001,15.565815,82300
2018-12-01,23.120001,23.152000,21.639999,22.223000,15.191210,73100
2019-01-01,22.268999,23.000000,22.211000,23.000000,15.814210,37500
2019-02-01,22.969999,24.379999,22.969999,23.290001,16.107109,90100
2019-03-01,23.250000,24.500000,23.124001,23.680000,16.472870,177200
2019-04-01,23.780001,23.798000,23.410000,23.754999,16.621754,148700
2019-05-01,23.799999,23.799999,23.320000,23.389999,16.462383,160000
2019-06-01,23.360001,24.480000,23.360001,24.040001,17.018497,131900
2019-07-01,24.129999,24.490000,23.990000,24.100000,17.161068,170900
2019-08-01,24.089001,24.570000,23.830000,24.290001,17.397966,240000
2019-09-01,24.520000,24.670000,23.989000,24.153999,17.401646,154200
2019-10-01,24.156000,24.490000,23.959999,24.166000,17.512070,197600
2019-11-01,24.309999,24.469999,23.969999,24.230000,17.661777,139700
2019-12-01,24.450001,24.480000,24.056000,24.350000,17.852987,114600
2020-01-01,24.299999,25.719999,24.299999,24.605000,18.145540,217900
2020-02-01,24.799999,25.100000,23.250000,23.629999,17.528311,301500
2020-03-01,23.969999,24.576000,18.240000,22.044001,16.447447,384800
2020-04-01,21.858000,24.000000,21.290001,23.395000,17.561802,126100
2020-05-01,23.209999,23.870001,22.973000,23.825001,17.990549,85300
2020-06-01,23.580000,24.900000,23.580000,24.129999,18.327757,574800
2020-07-01,24.100000,25.000000,24.100000,24.827999,18.968397,907800
2020-08-01,25.000000,26.950001,24.740000,25.209999,19.373419,619700
2020-09-01,25.360001,25.580000,24.200001,24.636000,19.042671,900600
2020-10-01,24.760000,25.110001,24.160000,24.240000,18.846321,1104800
2020-11-01,24.400000,25.430000,24.190001,25.309999,19.792807,2562700
2020-12-01,25.400000,26.090000,25.150000,25.549999,20.097174,5178900
2021-01-01,25.500000,25.569000,25.150000,25.219999,19.953245,6513300
2021-02-01,25.250000,25.750000,24.549999,24.799999,19.735451,4464400
2021-03-01,25.020000,25.170000,24.334999,24.740000,19.803202,7915600
2021-04-01,24.830000,25.459999,24.809999,25.280001,20.353626,8898100
2021-05-01,25.330000,25.480000,24.700001,25.240000,20.439461,9467500
2021-06-01,25.260000,25.660000,25.180000,25.620001,20.870056,10518100
2021-07-01,25.639999,25.930000,25.350000,25.770000,21.114841,11573600
2021-08-01,25.799999,25.889999,25.420000,25.840000,21.297140,15107800
2021-09-01,25.889999,25.969999,24.907000,24.940001,20.675379,16303000
2021-10-01,25.049999,25.850000,24.840000,25.820000,21.530025,13013400
2021-11-01,25.820000,26.250000,25.350000,25.360001,21.269831,11023000
2021-12-01,25.559999,26.059999,25.129999,25.980000,21.918869,16762400
2022-01-01,26.000000,26.070000,23.860001,24.770000,21.020222,25260600
2022-02-01,24.790001,25.049999,22.863001,23.990000,20.477070,16284300
2022-03-01,24.000000,24.320000,22.860001,24.110001,20.702129,10508500
2022-04-01,24.160000,24.281000,22.219999,22.299999,19.260778,9061800
2022-05-01,22.250000,22.798000,21.160000,22.420000,19.478127,9288500
2022-06-01,22.490000,22.540001,19.879999,20.600000,18.002245,6382000
2022-07-01,20.709999,22.216999,20.350000,22.180000,19.498989,3681500
2022-08-01,22.010000,22.580000,21.180000,21.270000,18.808136,4393000
2022-09-01,21.030001,21.709999,19.090000,19.200001,17.076332,5025800
2022-10-01,19.110001,19.930000,18.260000,19.600000,17.537107,4073600
2022-11-01,19.760000,20.570000,19.100000,20.549999,18.495070,3787500
2022-12-01,20.610001,20.770000,19.459999,19.580000,17.726557,4654800
2023-01-01,19.750000,20.770000,19.549999,20.660000,18.813148,3101700
2023-02-01,20.559999,21.139999,19.693001,19.770000,18.107677,2397900
2023-03-01,19.920000,20.230000,19.360001,20.230000,18.637289,3184400
2023-04-01,20.049999,20.490000,19.930000,20.330000,18.839268,2715500
2023-05-01,20.200001,20.353001,19.629999,19.950001,18.595556,2736500
2023-06-01,19.799999,20.420000,19.799999,20.330000,19.060539,2835000
2023-07-01,20.230000,20.740000,20.010000,20.660000,19.483753,2605200
2023-08-01,20.520000,20.600000,19.549999,20.100000,19.066542,3437300
2023-09-01,20.160000,20.160000,19.000000,19.110001,18.233908,2332200
2023-10-01,19.129999,19.299999,18.299999,18.490000,17.745668,2937900
2023-11-01,18.530001,20.010000,18.530001,19.959999,19.268539,2553800
2023-12-01,19.860001,20.850000,19.860001,20.680000,20.080250,4034800
2024-01-01,20.510000,20.870001,20.270000,20.709999,20.227890,2682000
2024-02-01,20.900000,20.940001,20.400000,20.870001,20.503605,2137000
2024-03-01,20.850000,21.320000,20.770000,21.209999,20.960222,2371300
2024-04-01,21.170000,21.219999,20.010000,20.290001,20.169027,1669700
2024-04-24,20.350000,20.361099,20.290001,20.290001,20.290001,27427
