Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,75.370003,75.519997,74.669998,74.769997,44.502728,1022300
2007-06-01,74.430000,74.430000,73.339996,74.279999,44.285572,2492000
2007-07-01,74.099998,74.730003,73.589996,74.730003,44.708160,966000
2007-08-01,74.459999,90.910004,74.230003,75.529999,45.328930,1423600
2007-09-01,75.290001,76.139999,75.050003,75.690002,45.610508,1655400
2007-10-01,75.279999,76.610001,75.209999,76.099998,46.036758,2761000
2007-11-01,75.940002,77.540001,71.360001,77.300003,46.938217,2247000
2007-12-01,77.250000,77.430000,76.000000,77.379997,47.163433,5547800
2008-01-01,78.260002,79.349998,76.910004,78.349998,48.109222,6056600
2008-02-01,78.440002,78.500000,76.389999,78.120003,47.967976,3624100
2008-03-01,77.599998,79.830002,76.500000,78.139999,48.164680,2598500
2008-04-01,77.760002,78.239998,76.449997,77.570000,47.992115,5606400
2008-05-01,77.370003,77.650002,76.160004,76.500000,47.513142,4610800
2008-06-01,76.019997,76.889999,75.019997,76.250000,47.542912,3182500
2008-07-01,75.839996,76.639999,75.029999,75.970001,47.543640,4079700
2008-08-01,76.120003,76.809998,75.000000,76.300003,47.936230,4312100
2008-09-01,76.339996,78.050003,75.379997,75.620003,47.699905,7663400
2008-10-01,75.260002,76.739998,67.000000,73.129997,46.304028,7302800
2008-11-01,73.160004,75.940002,73.000000,75.690002,48.096050,5414100
2008-12-01,75.720001,79.220001,75.300003,78.970001,50.386982,6217300
2009-01-01,78.419998,79.160004,77.010002,77.330002,49.720406,6851200
2009-02-01,77.059998,77.690002,76.199997,76.589996,49.244617,7350900
2009-03-01,76.290001,78.000000,75.720001,77.150002,49.790760,11491200
2009-04-01,77.080002,77.449997,76.459999,77.230003,50.021969,8966900
2009-05-01,76.779999,77.879997,76.529999,77.480003,50.365391,8474500
2009-06-01,77.129997,77.839996,75.959999,77.690002,50.677742,9014300
2009-07-01,77.220001,78.480003,77.139999,78.440002,51.344597,10956600
2009-08-01,78.139999,78.980003,77.089996,78.970001,51.867794,11247600
2009-09-01,78.660004,79.550003,78.510002,79.500000,52.389530,11055800
2009-10-01,79.400002,79.809998,78.809998,79.470001,52.543449,16676900
2009-11-01,79.290001,80.330002,78.849998,80.250000,53.225212,10009000
2009-12-01,80.059998,80.099998,78.330002,78.589996,52.290710,13827000
2010-01-01,78.599998,79.660004,78.540001,79.599998,53.297661,14948800
2010-02-01,79.400002,79.720001,78.879997,79.610001,53.304363,11337000
2010-03-01,79.529999,79.699997,78.839996,79.199997,53.195557,14325800
2010-04-01,78.980003,79.849998,78.400002,79.800003,53.756565,11841400
2010-05-01,79.449997,81.339996,78.870003,80.459999,54.369343,15644100
2010-06-01,80.250000,81.449997,80.000000,81.379997,55.154839,19428600
2010-07-01,81.260002,81.959999,80.919998,81.849998,55.642109,18792800
2010-08-01,81.610001,82.980003,81.510002,82.889999,56.508114,19117600
2010-09-01,82.580002,82.830002,81.720001,82.660004,56.511513,12817000
2010-10-01,82.389999,83.059998,82.220001,82.699997,56.693417,15738800
2010-11-01,82.639999,83.000000,81.260002,81.910004,56.303745,16326800
2010-12-01,81.360001,81.519997,79.519997,80.269997,55.329006,18661200
2011-01-01,80.029999,80.540001,79.680000,80.339996,55.931950,17786000
2011-02-01,79.989998,80.349998,79.019997,80.349998,55.938938,17407800
2011-03-01,79.919998,81.160004,79.580002,80.019997,55.865631,16171800
2011-04-01,79.690002,80.989998,79.540001,80.959999,56.671417,13854600
2011-05-01,80.860001,81.750000,80.690002,81.690002,57.345779,16679100
2011-06-01,81.629997,82.139999,81.010002,81.160004,57.131126,22211600
2011-07-01,81.040001,82.290001,80.879997,82.260002,58.064625,18741500
2011-08-01,82.050003,84.250000,82.019997,83.400002,59.027142,39035000
2011-09-01,83.320000,84.580002,83.050003,83.739998,59.427441,27045300
2011-10-01,83.699997,84.050003,82.720001,83.620003,59.494217,35970000
2011-11-01,83.800003,84.110001,83.150002,83.360001,59.461224,32152700
2011-12-01,83.099998,84.199997,82.830002,83.540001,59.739643,30913600
2012-01-01,83.430000,84.139999,83.180000,84.070000,60.697159,30348200
2012-02-01,83.849998,84.089996,83.419998,83.900002,60.574455,27683900
2012-03-01,83.489998,83.800003,82.589996,83.279999,60.273102,24292100
2012-04-01,83.050003,83.940002,82.650002,83.919998,60.877769,20942700
2012-05-01,83.820000,84.639999,83.580002,84.510002,61.509605,27779400
2012-06-01,84.599998,84.669998,84.010002,84.379997,61.554337,30153800
2012-07-01,84.260002,85.360001,84.230003,85.230003,62.311550,22433200
2012-08-01,85.010002,85.209999,84.000000,85.180000,62.413334,27288900
2012-09-01,84.949997,85.190002,84.260002,85.150002,62.528534,26808800
2012-10-01,84.949997,85.080002,84.480003,84.889999,62.472561,24977100
2012-11-01,84.730003,85.099998,84.580002,84.940002,62.637325,23247800
2012-12-01,84.699997,85.040001,83.889999,84.029999,61.966293,29653700
2013-01-01,83.779999,84.019997,83.250000,83.449997,61.659786,29578400
2013-02-01,83.440002,83.800003,83.050003,83.730003,61.866676,25419600
2013-03-01,83.620003,83.669998,82.900002,83.639999,61.923389,27311700
2013-04-01,83.279999,84.250000,83.279999,84.180000,62.439503,22783300
2013-05-01,84.099998,84.190002,82.190002,82.400002,61.343655,24522300
2013-06-01,82.099998,82.400002,79.790001,80.879997,60.328140,35923100
2013-07-01,80.660004,81.290001,79.879997,81.019997,60.553856,31657200
2013-08-01,80.599998,81.000000,79.599998,80.160004,60.035038,20819700
2013-09-01,79.889999,80.949997,79.139999,80.879997,60.698639,19963500
2013-10-01,80.650002,81.589996,80.470001,81.400002,61.219509,25314800
2013-11-01,81.160004,81.190002,80.430000,80.980003,61.033394,28518500
2013-12-01,80.660004,80.739998,79.900002,80.050003,60.466927,35331500
2014-01-01,80.099998,81.330002,80.040001,81.290001,61.721378,45342900
2014-02-01,81.120003,81.559998,80.800003,81.500000,61.880844,43163600
2014-03-01,81.440002,81.529999,80.809998,81.190002,61.775379,43697100
2014-04-01,80.940002,81.669998,80.709999,81.650002,62.256809,38381600
2014-05-01,81.500000,82.599998,81.470001,82.330002,62.922562,26081200
2014-06-01,82.059998,82.239998,81.599998,82.220001,62.975803,30022100
2014-07-01,81.919998,82.290001,81.500000,81.820000,62.805965,29997000
2014-08-01,81.779999,82.639999,81.660004,82.580002,63.522190,53751100
2014-09-01,82.250000,82.260002,81.410004,81.930000,63.154995,56554000
2014-10-01,81.970001,84.070000,81.919998,82.360001,63.624340,71537200
2014-11-01,82.199997,82.900002,82.010002,82.870003,64.144356,33373700
2014-12-01,82.809998,82.980003,81.849998,82.370003,63.891579,80151000
2015-01-01,82.430000,84.349998,82.419998,84.349998,65.861916,71128400
2015-02-01,83.949997,84.180000,82.440002,83.080002,64.870323,57846100
2015-03-01,82.959999,83.599998,82.029999,83.370003,65.228233,58961800
2015-04-01,83.370003,83.660004,82.570000,82.910004,64.995041,48720000
2015-05-01,82.559998,82.629997,81.750000,82.339996,64.696449,53288100
2015-06-01,82.190002,82.190002,80.830002,81.260002,63.970520,46263900
2015-07-01,80.870003,81.830002,80.830002,81.809998,64.533569,40358200
2015-08-01,81.699997,82.430000,81.309998,81.440002,64.370880,44466300
2015-09-01,81.389999,81.940002,81.000000,81.930000,64.892197,37313700
2015-10-01,81.889999,82.339996,81.570000,81.790001,64.915230,33309800
2015-11-01,81.440002,81.540001,80.750000,81.300003,64.655792,37498200
2015-12-01,81.169998,81.449997,80.470001,80.760002,64.359283,49802600
2016-01-01,80.790001,81.800003,80.699997,81.730003,65.452339,53253300
2016-02-01,81.519997,82.580002,81.330002,82.250000,65.868774,41844900
2016-03-01,82.169998,82.919998,81.650002,82.809998,66.458672,40037600
2016-04-01,82.650002,83.150002,82.440002,82.970001,66.720985,41406400
2016-05-01,82.779999,83.260002,82.519997,82.800003,66.723618,39045800
2016-06-01,82.739998,84.410004,82.599998,84.300003,68.066948,39942300
2016-07-01,84.440002,84.919998,83.949997,84.639999,68.481239,39476500
2016-08-01,84.250000,84.489998,83.879997,84.209999,68.266144,51856200
2016-09-01,83.900002,84.400002,83.290001,84.139999,68.342621,47262400
2016-10-01,83.949997,84.010002,83.019997,83.190002,67.704445,31289000
2016-11-01,82.889999,83.239998,80.699997,80.889999,65.958748,40774700
2016-12-01,80.480003,81.059998,80.029999,80.790001,66.006592,63820100
2017-01-01,80.550003,81.430000,80.500000,80.940002,66.429405,47715200
2017-02-01,80.559998,81.519997,80.500000,81.269997,66.700241,43938500
2017-03-01,80.779999,81.230003,80.019997,81.080002,66.682724,50619400
2017-04-01,80.970001,81.970001,80.910004,81.550003,67.199928,32894800
2017-05-01,81.339996,82.010002,80.930000,81.959999,67.683014,37408700
2017-06-01,81.709999,82.389999,81.690002,81.830002,67.715141,42753500
2017-07-01,81.660004,82.160004,81.300003,81.989998,67.990257,33596600
2017-08-01,81.760002,82.580002,81.750000,82.519997,68.714409,35037700
2017-09-01,82.309998,82.709999,81.800003,81.959999,68.533974,34145400
2017-10-01,81.750000,82.059998,81.430000,81.769997,68.519577,45694300
2017-11-01,81.589996,81.949997,81.419998,81.510002,68.442032,39560000
2017-12-01,81.500000,81.849998,81.169998,81.570000,68.637596,43542000
2018-01-01,81.449997,81.500000,80.430000,80.559998,68.104309,61108500
2018-02-01,80.370003,80.430000,79.230003,79.550003,67.250496,57920600
2018-03-01,79.419998,79.949997,79.139999,79.930000,67.720512,46654700
2018-04-01,79.629997,79.800003,78.690002,79.050003,67.114151,41553400
2018-05-01,78.860001,79.779999,78.300003,79.410004,67.588898,40136100
2018-06-01,79.029999,79.300003,78.580002,79.190002,67.553772,50492300
2018-07-01,79.029999,79.379997,78.870003,78.980003,67.689194,41128800
2018-08-01,78.750000,79.519997,78.650002,79.320000,68.136292,52090500
2018-09-01,79.000000,79.180000,78.379997,78.699997,67.764183,39836100
2018-10-01,78.419998,78.550003,77.660004,77.839996,67.182877,57503500
2018-11-01,77.650002,78.169998,77.459999,78.139999,67.599014,47154800
2018-12-01,77.989998,79.260002,77.949997,79.209999,68.695869,70316900
2019-01-01,79.279999,80.089996,79.139999,80.089996,69.805107,61718800
2019-02-01,79.790001,80.120003,79.529999,79.820000,69.569794,46049200
2019-03-01,79.550003,81.309998,79.389999,81.180000,70.930534,53424600
2019-04-01,80.860001,81.050003,80.449997,80.959999,70.901695,49802600
2019-05-01,80.779999,82.239998,80.529999,82.239998,72.200562,64384200
2019-06-01,82.139999,83.129997,82.029999,83.070000,73.105362,56888300
2019-07-01,82.910004,83.220001,82.430000,83.000000,73.215576,49681900
2019-08-01,82.970001,85.300003,82.940002,85.099998,75.243729,76372500
2019-09-01,84.980003,85.180000,83.290001,84.430000,74.825317,58285300
2019-10-01,84.050003,84.980003,83.760002,84.510002,75.062027,73007400
2019-11-01,84.250000,84.440002,83.260002,84.290001,75.028366,59052300
2019-12-01,83.830002,84.430000,83.610001,83.860001,74.809410,69766400
2020-01-01,83.980003,85.580002,83.860001,85.519997,76.624199,86598400
2020-02-01,85.220001,86.870003,84.830002,86.760002,77.735176,107859600
2020-03-01,86.820000,89.320000,76.489998,85.349998,76.635895,223067200
2020-04-01,86.120003,87.860001,85.550003,87.510002,78.732315,93086600
2020-05-01,87.379997,87.940002,86.629997,87.919998,79.277657,90798800
2020-06-01,87.589996,88.360001,87.029999,88.339996,79.815086,98981800
2020-07-01,88.139999,89.470001,88.000000,89.459999,80.982674,79143600
2020-08-01,89.320000,89.589996,88.120003,88.459999,80.224556,109325800
2020-09-01,88.250000,88.889999,88.129997,88.220001,80.149353,108290000
2020-10-01,87.989998,88.239998,87.500000,87.580002,79.705780,105499500
2020-11-01,87.559998,88.500000,87.379997,88.489998,80.671127,92201500
2020-12-01,88.260002,88.300003,87.699997,88.190002,80.536469,105574500
2021-01-01,88.040001,88.099998,86.940002,87.430000,80.236252,114243800
2021-02-01,87.239998,87.370003,84.919998,85.940002,78.868843,102362500
2021-03-01,85.610001,85.750000,84.220001,84.720001,77.873024,131286300
2021-04-01,84.779999,85.559998,84.550003,85.260002,78.487175,116105500
2021-05-01,85.120003,85.599998,84.660004,85.260002,78.665459,111937200
2021-06-01,85.070000,85.989998,84.980003,85.889999,79.368698,147248000
2021-07-01,85.730003,87.080002,85.629997,86.760002,80.298820,133364900
2021-08-01,86.680000,87.050003,85.860001,86.459999,80.144348,103779600
2021-09-01,86.410004,86.680000,85.379997,85.449997,79.332497,109159200
2021-10-01,85.459999,85.650002,84.739998,85.379997,79.391457,119201600
2021-11-01,85.019997,86.029999,84.430000,85.419998,79.549660,121141500
2021-12-01,85.160004,85.830002,84.519997,84.750000,79.049774,142732200
2022-01-01,84.440002,84.440002,82.690002,83.000000,77.787384,136153200
2022-02-01,82.889999,83.139999,80.959999,81.919998,76.775200,133028400
2022-03-01,82.040001,82.489998,78.610001,79.540001,74.667908,209278100
2022-04-01,78.830002,79.300003,76.099998,76.190002,71.635918,163146400
2022-05-01,75.820000,77.220001,75.139999,76.680000,72.276566,172456200
2022-06-01,76.559998,76.639999,73.199997,75.260002,71.069633,149481700
2022-07-01,75.610001,77.169998,74.839996,76.900002,72.758751,109720900
2022-08-01,76.900002,77.180000,74.510002,74.599998,70.722633,128853000
2022-09-01,74.019997,74.480003,70.669998,71.330002,67.757408,130951500
2022-10-01,71.699997,72.239998,69.089996,70.349998,66.966522,150593000
2022-11-01,70.580002,72.769997,69.570000,72.760002,69.412407,146919400
2022-12-01,72.730003,74.150002,71.800003,71.839996,68.693901,160029000
2023-01-01,72.449997,74.660004,72.070000,74.220001,71.299149,114038100
2023-02-01,74.160004,74.860001,71.760002,72.070000,69.233734,100778600
2023-03-01,71.680000,74.419998,71.169998,73.830002,71.093071,114696000
2023-04-01,73.580002,74.900002,73.150002,74.080002,71.496498,80593600
2023-05-01,73.599998,74.379997,72.070000,73.040001,70.667938,104674200
2023-06-01,73.050003,73.190002,72.199997,72.690002,70.500587,107500100
2023-07-01,72.489998,72.980003,71.349998,72.419998,70.419006,111839000
2023-08-01,71.930000,72.019997,70.449997,71.750000,69.944572,127082600
2023-09-01,71.550003,71.570000,69.379997,69.779999,68.205902,137475900
2023-10-01,69.320000,69.739998,67.989998,68.529999,67.167603,172502600
2023-11-01,68.480003,71.699997,68.449997,71.430000,70.203110,142803400
2023-12-01,71.220001,73.919998,71.199997,73.550003,72.501465,161348600
2024-01-01,73.260002,73.639999,72.430000,73.430000,72.796074,156729300
2024-02-01,73.510002,73.830002,71.739998,72.220001,71.596512,150945000
2024-03-01,71.940002,72.970001,71.809998,72.629997,72.211449,162561400
2024-04-01,72.150002,72.190002,70.419998,70.949997,70.738991,160270400
2024-04-24,70.820000,70.839996,70.629997,70.650002,70.650002,1199948
