Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,26.990000,28.000000,23.000000,24.870001,17.391161,608500
2009-01-01,24.950001,27.450001,22.219999,23.459999,16.519028,634200
2009-02-01,23.250000,24.100000,21.820000,21.900000,15.420570,103500
2009-03-01,21.340000,24.740000,20.860001,22.969999,16.174002,298300
2009-04-01,22.980000,25.290001,22.980000,24.549999,17.332678,236400
2009-05-01,24.760000,25.990000,24.240000,25.690001,18.137531,188000
2009-06-01,25.200001,26.389999,24.950001,25.430000,17.953966,156900
2009-07-01,25.590000,27.000000,24.680000,26.840000,19.116642,180900
2009-08-01,27.250000,28.490000,26.719999,27.540001,19.615202,213900
2009-09-01,27.540001,30.160000,26.610001,28.309999,20.163631,302400
2009-10-01,28.340000,29.190001,27.570000,27.820000,19.901831,200800
2009-11-01,27.860001,29.309999,27.700001,28.799999,20.602900,352500
2009-12-01,29.360001,29.760000,28.610001,28.940001,20.703051,363800
2010-01-01,29.270000,29.900000,28.240000,28.240000,20.334978,346200
2010-02-01,28.340000,28.820000,27.740000,28.629999,20.615810,221900
2010-03-01,28.790001,29.969999,28.690001,29.730000,21.407898,290900
2010-04-01,29.930000,30.930000,29.809999,30.059999,21.701880,289200
2010-05-01,30.139999,30.299999,27.670000,28.510000,20.582853,507700
2010-06-01,28.330000,29.330000,27.709999,27.730000,20.019739,200000
2010-07-01,28.570000,29.360001,27.480000,29.129999,21.176947,235000
2010-08-01,29.450001,29.540001,28.240000,28.469999,20.697140,182600
2010-09-01,28.700001,30.230000,28.670000,29.959999,21.780344,185500
2010-10-01,30.090000,31.000000,29.790001,30.709999,22.406103,217400
2010-11-01,30.820000,31.469999,30.330000,30.459999,22.223703,404700
2010-12-01,30.750000,31.889999,30.709999,31.540001,23.011681,360000
2011-01-01,31.620001,32.099998,31.350000,31.860001,23.392414,687500
2011-02-01,31.940001,32.700001,31.940001,32.500000,23.862318,348600
2011-03-01,32.630001,32.810001,31.420000,32.570000,23.913717,388000
2011-04-01,32.680000,33.459999,32.230000,33.430000,24.628769,768200
2011-05-01,33.500000,33.520000,32.430000,33.169998,24.437227,294300
2011-06-01,33.099998,33.099998,31.830000,32.590000,24.009918,526800
2011-07-01,32.840000,33.119999,32.049999,32.279999,23.975727,415900
2011-08-01,32.599998,32.950001,29.350000,31.090000,23.091873,806200
2011-09-01,31.100000,31.150000,29.309999,29.410000,21.844057,306100
2011-10-01,29.370001,31.950001,27.840000,31.360001,23.416935,949300
2011-11-01,30.760000,31.719999,29.860001,31.219999,23.312395,434500
2011-12-01,31.160000,31.549999,30.530001,31.139999,23.252653,673300
2012-01-01,31.420000,32.360001,31.190001,32.240002,24.246120,892300
2012-02-01,32.369999,33.259998,32.369999,33.049999,24.855276,584500
2012-03-01,33.099998,33.549999,32.500000,33.340000,25.073381,428600
2012-04-01,33.320000,33.549999,32.490002,33.230000,25.054190,577800
2012-05-01,33.270000,33.500000,31.620001,31.879999,24.036341,500600
2012-06-01,31.570000,32.680000,31.260000,32.419998,24.443470,448400
2012-07-01,32.549999,32.919998,32.009998,32.790001,24.905687,357300
2012-08-01,32.900002,33.439999,32.410000,33.250000,25.255085,476300
2012-09-01,33.200001,34.419998,33.090000,33.709999,25.604469,351800
2012-10-01,33.799999,34.119999,33.299999,33.500000,25.546616,391600
2012-11-01,33.549999,33.820000,32.650002,33.750000,25.737255,792900
